"group_A","EOs_A","n_locs_A","group_B","EOs_B","n_locs_B","min_dist_m","connected"
9,"EO27",1,19,"EO24",1,26381.1,FALSE
6,"EO32",1,11,"EO27",2,26460.5,FALSE
6,"EO32",1,29,"EO27",1,26501.6,FALSE
13,"EO18",5,32,"EO72",1,26679.7,FALSE
15,"EO25",1,32,"EO72",1,27191.3,FALSE
8,"EO29",1,27,"EO26",1,27341.9,FALSE
9,"EO27",1,15,"EO25",1,27535.7,FALSE
3,"EO52",1,6,"EO32",1,27565.8,FALSE
2,"EO76",1,6,"EO32",1,27776.8,FALSE
14,"EO25",1,32,"EO72",1,28002.1,FALSE
9,"EO27",1,14,"EO25",1,28160.2,FALSE
11,"EO27",2,16,"EO24",1,28260.6,FALSE
4,"EO118",1,5,"EO68",1,28441.9,FALSE
11,"EO27",2,17,"EO24",1,28914.7,FALSE
16,"EO24",1,29,"EO27",1,29157.9,FALSE
11,"EO27",2,18,"EO24",1,29222.6,FALSE
17,"EO24",1,29,"EO27",1,29821.5,FALSE
11,"EO27",2,13,"EO18",5,29879.1,FALSE
11,"EO27",2,19,"EO24",1,30002.1,FALSE
3,"EO52",1,7,"EO48",1,30064.3,FALSE
18,"EO24",1,29,"EO27",1,30158.3,FALSE
2,"EO76",1,7,"EO48",1,30241.4,FALSE
19,"EO24",1,29,"EO27",1,30912.8,FALSE
2,"EO76",1,20,"EO70",1,31095.1,FALSE
13,"EO18",5,29,"EO27",1,31144.1,FALSE
1,"EO38",1,19,"EO24",1,31205.6,FALSE
1,"EO38",1,16,"EO24",1,31368.6,FALSE
1,"EO38",1,17,"EO24",1,31372.1,FALSE
11,"EO27",2,15,"EO25",1,31408.2,FALSE
1,"EO38",1,18,"EO24",1,31827.3,FALSE
11,"EO27",2,14,"EO25",1,32055.4,FALSE
15,"EO25",1,29,"EO27",1,32552,FALSE
2,"EO76",1,19,"EO24",1,32574.1,FALSE
2,"EO76",1,17,"EO24",1,33094.4,FALSE
8,"EO29",1,12,"EO30",1,33140.2,FALSE
14,"EO25",1,29,"EO27",1,33224.4,FALSE
2,"EO76",1,16,"EO24",1,33318.2,FALSE
2,"EO76",1,18,"EO24",1,33379.4,FALSE
2,"EO76",1,5,"EO68",1,33438.1,FALSE
7,"EO48",1,12,"EO30",1,34259.4,FALSE
6,"EO32",1,12,"EO30",1,34978.5,FALSE
4,"EO118",1,6,"EO32",1,35018.2,FALSE
3,"EO52",1,19,"EO24",1,35031.3,FALSE
3,"EO52",1,17,"EO24",1,35361.6,FALSE
3,"EO52",1,16,"EO24",1,35460.3,FALSE
3,"EO52",1,18,"EO24",1,35746.1,FALSE
1,"EO38",1,15,"EO25",1,35841.4,FALSE
2,"EO76",1,15,"EO25",1,36297.5,FALSE
3,"EO52",1,20,"EO70",1,36365.9,FALSE
1,"EO38",1,14,"EO25",1,36419.3,FALSE
2,"EO76",1,14,"EO25",1,36624.5,FALSE
1,"EO38",1,32,"EO72",1,36943.1,FALSE
4,"EO118",1,7,"EO48",1,37483,FALSE
1,"EO38",1,13,"EO18",5,37655.6,FALSE
2,"EO76",1,13,"EO18",5,38164.2,FALSE
1,"EO38",1,31,"EO67",1,38910,FALSE
3,"EO52",1,5,"EO68",1,38973.2,FALSE
4,"EO118",1,19,"EO24",1,39315.2,FALSE
3,"EO52",1,15,"EO25",1,39318.4,FALSE
3,"EO52",1,14,"EO25",1,39789.5,FALSE
4,"EO118",1,17,"EO24",1,39900.9,FALSE
4,"EO118",1,18,"EO24",1,40147.3,FALSE
4,"EO118",1,16,"EO24",1,40165.8,FALSE
3,"EO52",1,13,"EO18",5,41178.9,FALSE
12,"EO30",1,16,"EO24",1,41621.5,FALSE
1,"EO38",1,20,"EO70",1,42200.4,FALSE
12,"EO30",1,17,"EO24",1,42303.1,FALSE
12,"EO30",1,18,"EO24",1,42747,FALSE
4,"EO118",1,15,"EO25",1,42802,FALSE
4,"EO118",1,14,"EO25",1,43071.1,FALSE
3,"EO52",1,32,"EO72",1,43102.4,FALSE
8,"EO29",1,29,"EO27",1,43142.1,FALSE
12,"EO30",1,19,"EO24",1,43377.6,FALSE
8,"EO29",1,11,"EO27",2,43516,FALSE
2,"EO76",1,32,"EO72",1,44483.3,FALSE
4,"EO118",1,13,"EO18",5,44656.6,FALSE
1,"EO38",1,5,"EO68",1,44693.6,FALSE
1,"EO38",1,10,"EO27",1,44746.2,FALSE
12,"EO30",1,30,"EO61",1,44877.3,FALSE
3,"EO52",1,31,"EO67",1,44887.8,FALSE
12,"EO30",1,13,"EO18",5,44914.2,FALSE
2,"EO76",1,31,"EO67",1,45727.5,FALSE
12,"EO30",1,15,"EO25",1,45887.2,FALSE
1,"EO38",1,9,"EO27",1,46237.7,FALSE
12,"EO30",1,14,"EO25",1,46640.5,FALSE
1,"EO38",1,29,"EO27",1,47597.2,FALSE
1,"EO38",1,11,"EO27",2,47912.4,FALSE
8,"EO29",1,9,"EO27",1,48207.5,FALSE
3,"EO52",1,10,"EO27",1,50526,FALSE
8,"EO29",1,10,"EO27",1,50722.8,FALSE
2,"EO76",1,10,"EO27",1,50804.1,FALSE
4,"EO118",1,32,"EO72",1,51709.3,FALSE
8,"EO29",1,32,"EO72",1,51856.4,FALSE
3,"EO52",1,9,"EO27",1,52135.3,FALSE
8,"EO29",1,31,"EO67",1,52256.4,FALSE
12,"EO30",1,23,"EO08",1,52295.1,FALSE
1,"EO38",1,12,"EO30",1,52379.9,FALSE
2,"EO76",1,9,"EO27",1,52678.8,FALSE
4,"EO118",1,31,"EO67",1,52971.3,FALSE
29,"EO27",1,30,"EO61",1,53269.3,FALSE
